cutoff_year,eval_end_year,top_k,weight_set,candidate,spearman,n_topics
2014,2017,10,equal_with_accel,k10_equal_with_accel,0.5758271579167102,66
2014,2017,10,local_only,k10_local_only,0.5307796680931011,66
2014,2017,10,midband_only,k10_midband_only,0.7344744807431376,66
2014,2017,15,fixed_50_30_20,k15_fixed_50_30_20,0.6861287965765579,66
2014,2017,15,spectral_equal,k15_spectral_equal,0.7201544723932786,66
2014,2017,15,equal_with_accel,k15_equal_with_accel,0.6258010646070349,66
2014,2017,15,local_only,k15_local_only,0.6745224924329403,66
2014,2017,15,midband_only,k15_midband_only,0.7475420102285775,66
2015,2018,3,fixed_50_30_20,k3_fixed_50_30_20,0.6042747533796128,69
2015,2018,3,spectral_equal,k3_spectral_equal,0.611399342345634,69
2015,2018,3,equal_with_accel,k3_equal_with_accel,0.6541103397880892,69
2015,2018,3,local_only,k3_local_only,0.409134088417976,69
2015,2018,3,midband_only,k3_midband_only,0.759152356594812,69
2015,2018,5,fixed_50_30_20,k5_fixed_50_30_20,0.6472415052977714,69
2015,2018,5,spectral_equal,k5_spectral_equal,0.6439897698209719,69
2015,2018,5,equal_with_accel,k5_equal_with_accel,0.6767628790646694,69
2015,2018,5,local_only,k5_local_only,0.4606503470953599,69
2015,2018,5,midband_only,k5_midband_only,0.7676287906466935,69
2015,2018,7,fixed_50_30_20,k7_fixed_50_30_20,0.6915966386554623,69
2015,2018,7,spectral_equal,k7_spectral_equal,0.6839605407380345,69
2015,2018,7,equal_with_accel,k7_equal_with_accel,0.70230179028133,69
2015,2018,7,local_only,k7_local_only,0.5388381439532336,69
2015,2018,7,midband_only,k7_midband_only,0.7671903544026307,69
2015,2018,10,fixed_50_30_20,k10_fixed_50_30_20,0.7199853854585314,69
2015,2018,10,spectral_equal,k10_spectral_equal,0.7080014614541469,69
2015,2018,10,equal_with_accel,k10_equal_with_accel,0.7285714285714286,69
2015,2018,10,local_only,k10_local_only,0.61669711362806,69
2015,2018,10,midband_only,k10_midband_only,0.7744245524296676,69
2015,2018,15,fixed_50_30_20,k15_fixed_50_30_20,0.7611983924004385,69
2015,2018,15,spectral_equal,k15_spectral_equal,0.7520277676287906,69
2015,2018,15,equal_with_accel,k15_equal_with_accel,0.7536719035440265,69
2015,2018,15,local_only,k15_local_only,0.7020094994519548,69
2015,2018,15,midband_only,k15_midband_only,0.7837047862623311,69
2016,2019,3,fixed_50_30_20,k3_fixed_50_30_20,0.6181104894205416,72
2016,2019,3,spectral_equal,k3_spectral_equal,0.6715544408000516,72
2016,2019,3,equal_with_accel,k3_equal_with_accel,0.6102643256801082,72
2016,2019,3,local_only,k3_local_only,0.5035693613737219,72
2016,2019,3,midband_only,k3_midband_only,0.7567046112290181,72
2016,2019,5,fixed_50_30_20,k5_fixed_50_30_20,0.6466332240015435,72
2016,2019,5,spectral_equal,k5_spectral_equal,0.6945784294809957,72
2016,2019,5,equal_with_accel,k5_equal_with_accel,0.6180783330117694,72
2016,2019,5,local_only,k5_local_only,0.5759212811113256,72
2016,2019,5,midband_only,k5_midband_only,0.7643899929255902,72
2016,2019,7,fixed_50_30_20,k7_fixed_50_30_20,0.6548974210560166,72
2016,2019,7,spectral_equal,k7_spectral_equal,0.6998520805196476,72
2016,2019,7,equal_with_accel,k7_equal_with_accel,0.6186893047784424,72
2016,2019,7,local_only,k7_local_only,0.6073059360730595,72
2016,2019,7,midband_only,k7_midband_only,0.7598880956974727,72
2016,2019,10,fixed_50_30_20,k10_fixed_50_30_20,0.6666345102578946,72
2016,2019,10,spectral_equal,k10_spectral_equal,0.7129397388899609,72
2016,2019,10,equal_with_accel,k10_equal_with_accel,0.6214869123416298,72
2016,2019,10,local_only,k10_local_only,0.638047462859348,72
2016,2019,10,midband_only,k10_midband_only,0.7574442086307803,72
2016,2019,15,fixed_50_30_20,k15_fixed_50_30_20,0.7009775548266771,72
2016,2019,15,spectral_equal,k15_spectral_equal,0.7348704096726478,72
2016,2019,15,equal_with_accel,k15_equal_with_accel,0.6454434368769697,72
2016,2019,15,local_only,k15_local_only,0.6961862499196091,72
2016,2019,15,midband_only,k15_midband_only,0.7628786417132936,72
2017,2020,3,fixed_50_30_20,k3_fixed_50_30_20,0.5976305072195481,74
2017,2020,3,spectral_equal,k3_spectral_equal,0.5933654202147352,74
2017,2020,3,equal_with_accel,k3_equal_with_accel,0.644931506849315,74
2017,2020,3,local_only,k3_local_only,0.37620140688633835,74
2017,2020,3,midband_only,k3_midband_only,0.7231543872639761,74
2017,2020,5,fixed_50_30_20,k5_fixed_50_30_20,0.6644798222880413,74
2017,2020,5,spectral_equal,k5_spectral_equal,0.6257386153276563,74
2017,2020,5,equal_with_accel,k5_equal_with_accel,0.7066567937800813,74
2017,2020,5,local_only,k5_local_only,0.48481303221029237,74
2017,2020,5,midband_only,k5_midband_only,0.7332247315808957,74
2017,2020,7,fixed_50_30_20,k7_fixed_50_30_20,0.6774824139207699,74
2017,2020,7,spectral_equal,k7_spectral_equal,0.6402813772676785,74
2017,2020,7,equal_with_accel,k7_equal_with_accel,0.7217326915957052,74
2017,2020,7,local_only,k7_local_only,0.5088041466123656,74
2017,2020,7,midband_only,k7_midband_only,0.7304109589041095,74
2017,2020,10,fixed_50_30_20,k10_fixed_50_30_20,0.7071306923361717,74
2017,2020,10,spectral_equal,k10_spectral_equal,0.6626138467234356,74
2017,2020,10,equal_with_accel,k10_equal_with_accel,0.7298482043687522,74
2017,2020,10,local_only,k10_local_only,0.5406442058496852,74
2017,2020,10,midband_only,k10_midband_only,0.7352980377637911,74
2017,2020,15,fixed_50_30_20,k15_fixed_50_30_20,0.7192743428359866,74
2017,2020,15,spectral_equal,k15_spectral_equal,0.668685671973343,74
2017,2020,15,equal_with_accel,k15_equal_with_accel,0.7485079600148092,74
2017,2020,15,local_only,k15_local_only,0.5675675675675674,74
2017,2020,15,midband_only,k15_midband_only,0.737312106627175,74
2018,2021,3,fixed_50_30_20,k3_fixed_50_30_20,0.44136245834875965,74
2018,2021,3,spectral_equal,k3_spectral_equal,0.5496482784154015,74
2018,2021,3,equal_with_accel,k3_equal_with_accel,0.4772602739726026,74
2018,2021,3,local_only,k3_local_only,0.23838578304331723,74
2018,2021,3,midband_only,k3_midband_only,0.7421103295075897,74
2018,2021,5,fixed_50_30_20,k5_fixed_50_30_20,0.4961569788967049,74
2018,2021,5,spectral_equal,k5_spectral_equal,0.5892188078489448,74
2018,2021,5,equal_with_accel,k5_equal_with_accel,0.516890040725657,74
2018,2021,5,local_only,k5_local_only,0.3589633469085523,74
2018,2021,5,midband_only,k5_midband_only,0.735564605701592,74
2018,2021,7,fixed_50_30_20,k7_fixed_50_30_20,0.510699740836727,74
2018,2021,7,spectral_equal,k7_spectral_equal,0.5949648278415401,74
2018,2021,7,equal_with_accel,k7_equal_with_accel,0.5234950018511662,74
2018,2021,7,local_only,k7_local_only,0.4078341355053683,74
2018,2021,7,midband_only,k7_midband_only,0.739829692706405,74
2018,2021,10,fixed_50_30_20,k10_fixed_50_30_20,0.5274342835986671,74
2018,2021,10,spectral_equal,k10_spectral_equal,0.604176231025546,74
2018,2021,10,equal_with_accel,k10_equal_with_accel,0.5299814883376527,74
2018,2021,10,local_only,k10_local_only,0.4467530544242872,74
2018,2021,10,midband_only,k10_midband_only,0.7451906701221768,74
2018,2021,15,fixed_50_30_20,k15_fixed_50_30_20,0.5729877823028506,74
2018,2021,15,spectral_equal,k15_spectral_equal,0.6429470566456867,74
2018,2021,15,equal_with_accel,k15_equal_with_accel,0.5609626064420584,74
2018,2021,15,local_only,k15_local_only,0.5132469455757126,74
2018,2021,15,midband_only,k15_midband_only,0.7452795261014439,74
2019,2022,3,fixed_50_30_20,k3_fixed_50_30_20,0.5696112550907071,74
2019,2022,3,spectral_equal,k3_spectral_equal,0.6228063680118473,74
2019,2022,3,equal_with_accel,k3_equal_with_accel,0.5930099962976674,74
2019,2022,3,local_only,k3_local_only,0.4114476119955571,74
2019,2022,3,midband_only,k3_midband_only,0.7807034431691965,74
2019,2022,5,fixed_50_30_20,k5_fixed_50_30_20,0.5950536838208069,74
2019,2022,5,spectral_equal,k5_spectral_equal,0.6289078119215105,74
2019,2022,5,equal_with_accel,k5_equal_with_accel,0.6057164013328397,74
2019,2022,5,local_only,k5_local_only,0.446604961125509,74
2019,2022,5,midband_only,k5_midband_only,0.7683524620510922,74
2019,2022,7,fixed_50_30_20,k7_fixed_50_30_20,0.6233987412069603,74
2019,2022,7,spectral_equal,k7_spectral_equal,0.6458496853017399,74
2019,2022,7,equal_with_accel,k7_equal_with_accel,0.6221843761569787,74
2019,2022,7,local_only,k7_local_only,0.4784450203628285,74
2019,2022,7,midband_only,k7_midband_only,0.768530174009626,74
2019,2022,10,fixed_50_30_20,k10_fixed_50_30_20,0.6590003702332468,74
2019,2022,10,spectral_equal,k10_spectral_equal,0.6627915586819695,74
2019,2022,10,equal_with_accel,k10_equal_with_accel,0.6456423546834504,74
2019,2022,10,local_only,k10_local_only,0.5258644946316178,74
2019,2022,10,midband_only,k10_midband_only,0.764265087004813,74
2019,2022,15,fixed_50_30_20,k15_fixed_50_30_20,0.6779563124768603,74
2019,2022,15,spectral_equal,k15_spectral_equal,0.6801184746390224,74
2019,2022,15,equal_with_accel,k15_equal_with_accel,0.6671158830062938,74
2019,2022,15,local_only,k15_local_only,0.580836727138097,74
2019,2022,15,midband_only,k15_midband_only,0.7721436504998147,74
2020,2023,3,fixed_50_30_20,k3_fixed_50_30_20,0.512176386913229,75
2020,2023,3,spectral_equal,k3_spectral_equal,0.5986913229018492,75
2020,2023,3,equal_with_accel,k3_equal_with_accel,0.5021906116642958,75
2020,2023,3,local_only,k3_local_only,0.3883926031294452,75
2020,2023,3,midband_only,k3_midband_only,0.7228165007112376,75
2020,2023,5,fixed_50_30_20,k5_fixed_50_30_20,0.508904694167852,75
2020,2023,5,spectral_equal,k5_spectral_equal,0.5919203413940256,75
2020,2023,5,equal_with_accel,k5_equal_with_accel,0.5038691322901849,75
2020,2023,5,local_only,k5_local_only,0.3997724039829303,75
2020,2023,5,midband_only,k5_midband_only,0.7195448079658605,75
2020,2023,7,fixed_50_30_20,k7_fixed_50_30_20,0.5280512091038406,75
2020,2023,7,spectral_equal,k7_spectral_equal,0.6085917496443812,75
2020,2023,7,equal_with_accel,k7_equal_with_accel,0.5126031294452347,75
2020,2023,7,local_only,k7_local_only,0.4189189189189188,75
